QueryId,QueryCtonten,Title,Tag,Link,Category,Author,Image
0,historical,Discrimination and Disparities,"cultural legacy, clear example, rigorous intellectual, great point, interesting, judging, year, nazism, germany, claim,",https://www.amazon.com/Discrimination-and-Disparities-audiobook/dp/B078N861YQ/ref=sr_1_26?qid=1639358583&s=books&sr=1-26,Law,"Thomas Sowell, ",https://m.media-amazon.com/images/I/71YJV7aVRQL._AC_UY218_.jpg
0,historical,The Book of Unusual Knowledge,"history book, good paper, good gift, independent child, young child, unusual knowledge, white people, careful people, decent paper, actual news article,",https://www.amazon.com/Unusual-Knowledge-Editors-Publications-International/dp/1450845800/ref=sr_1_1?qid=1636073317&qsid=139-3550215-9846745&s=books&sr=1-1&sres=1450845800%2C059342039X%2C1284194531%2C1119784174%2C0802738036%2C0976626608%2C0310750628%2C1644250934%2C149267043X%2C1119387507%2C0486832945%2C1455922978%2C1640308431%2C1546012591%2C151865472X%2C1602399840,Engineering & Transportation,"Publications International Ltd., ",https://m.media-amazon.com/images/I/71WC3z4Wt0L._AC_UY218_.jpg
0,historical,Sapiens: A Brief History of Humankind,"long book, good book, book full, pompous book, historical inter-subjective reality, inter-subjective reality, modern human, human nature, interesting history, human cooperation,",https://www.amazon.com/Sapiens-Humankind-Yuval-Noah-Harari/dp/0062316117/ref=sr_1_17?qid=1639355705&s=books&sr=1-17,History,"Yuval Harari, ",https://m.media-amazon.com/images/I/71N3-FFSDxL._AC_UY218_.jpg
0,historical,Sapiens: A Brief History of Humankind,"long book, good book, book full, pompous book, historical inter-subjective reality, inter-subjective reality, modern human, human nature, interesting history, human cooperation,",https://www.amazon.com/Sapiens-Humankind-Yuval-Noah-Harari/dp/0062316117/ref=sr_1_14?qid=1636073028&qsid=139-3550215-9846745&s=books&sr=1-14&sres=0374157359%2C1982182911%2C168451259X%2C125083239X%2C0063039540%2C059323152X%2C0062976583%2C0140280197%2C150113597X%2C154164753X%2C0593423062%2C1510765549%2C1737478501%2C0062316117%2C163763059X%2C0593577922,Politics & Social Sciences,"Yuval Harari, ",https://m.media-amazon.com/images/I/71N3-FFSDxL._AC_UY218_.jpg
0,historical,Sapiens: A Brief History of Humankind,"long book, good book, book full, pompous book, historical inter-subjective reality, inter-subjective reality, modern human, human nature, interesting history, human cooperation,",https://www.amazon.com/Sapiens-Humankind-Yuval-Noah-Harari/dp/0062316117/ref=sr_1_5?qid=1636074194&s=books&sr=1-5,Science & Math,"Yuval Harari, ",https://m.media-amazon.com/images/I/71N3-FFSDxL._AC_UY218_.jpg
0,historical,Sapiens: A Brief History of Humankind,"long book, good book, book full, pompous book, historical inter-subjective reality, inter-subjective reality, modern human, human nature, interesting history, human cooperation,",https://www.amazon.com/Sapiens-Humankind-Yuval-Noah-Harari/dp/0062316117/ref=sr_1_20?qid=1639355805&s=books&sr=1-20,Politics & Social Sciences,"Yuval Harari, ",https://m.media-amazon.com/images/I/71N3-FFSDxL._AC_UY218_.jpg
0,historical,Sapiens: A Brief History of Humankind,"long book, good book, book full, pompous book, historical inter-subjective reality, inter-subjective reality, modern human, human nature, interesting history, human cooperation,",https://www.amazon.com/Sapiens-Humankind-Yuval-Noah-Harari/dp/0062316117/ref=sr_1_9?qid=1636072788&s=books&sr=1-9,History,"Yuval Harari, ",https://m.media-amazon.com/images/I/71N3-FFSDxL._AC_UY218_.jpg
0,historical,"To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876","chernows book, book unnecessary, five-star book, decent book, book open, shared american ideology, ron chernows biography, irritating woke propaganda inherent, never-trumper baier hype, late nineteenth century,",https://www.amazon.com/Rescue-Republic-Ulysses-Fragile-Crisis/dp/0063039540/ref=sr_1_6?qid=1636072434&s=books&sr=1-6,Biographies,"Bret Baier, ",https://m.media-amazon.com/images/I/81u8pA8kNEL._AC_UY218_.jpg
0,historical,"To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876","chernows book, book unnecessary, five-star book, decent book, book open, shared american ideology, ron chernows biography, irritating woke propaganda inherent, never-trumper baier hype, late nineteenth century,",https://www.amazon.com/Rescue-Republic-Ulysses-Fragile-Crisis/dp/0063039540/ref=sr_1_4?qid=1636072788&s=books&sr=1-4,History,"Bret Baier, ",https://m.media-amazon.com/images/I/81u8pA8kNEL._AC_UY218_.jpg
0,historical,"To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876","chernows book, book unnecessary, five-star book, decent book, book open, shared american ideology, ron chernows biography, irritating woke propaganda inherent, never-trumper baier hype, late nineteenth century,",https://www.amazon.com/Rescue-Republic-Ulysses-Fragile-Crisis/dp/0063039540/ref=sr_1_5?qid=1636073028&qsid=139-3550215-9846745&s=books&sr=1-5&sres=0374157359%2C1982182911%2C168451259X%2C125083239X%2C0063039540%2C059323152X%2C0062976583%2C0140280197%2C150113597X%2C154164753X%2C0593423062%2C1510765549%2C1737478501%2C0062316117%2C163763059X%2C0593577922,Politics & Social Sciences,"Bret Baier, ",https://m.media-amazon.com/images/I/81u8pA8kNEL._AC_UY218_.jpg
1,asian culture,Crying in H Mart: A Memoir,"mother friend, book, specific korean food, korean culture, korean heritage, korean class, suffering cancer illness, famous bad girl, bad language, good read,",https://www.amazon.com/Crying-Mart-Memoir-Michelle-Zauner/dp/0525657746/ref=sr_1_25?qid=1639355805&s=books&sr=1-25,Politics & Social Sciences,"Michelle Zauner, ",https://m.media-amazon.com/images/I/811Hq4sgpSL._AC_UY218_.jpg
1,asian culture,Crying in H Mart: A Memoir,"mother friend, book, specific korean food, korean culture, korean heritage, korean class, suffering cancer illness, famous bad girl, good read, living creature moment,",https://www.amazon.com/Crying-H-Mart-Memoir/dp/B08FMVVQGF/ref=sr_1_4?qid=1636075614&qsid=146-2930825-2310558&s=books&sr=1-4&sres=0140280197%2C0358574315%2C0989081532%2C0525657746%2C0316551309%2C081298496X%2C0393531562%2C194564009X%2C0143118757%2C1541736699%2C1631494538%2C0767914171%2C0578666154%2C1524763136%2C0593196651%2C1565842715,Law,"Michelle Zauner, ",https://m.media-amazon.com/images/I/81gcQTXsBoL._AC_UY218_.jpg
1,asian culture,They Called Us Enemy,"comic book, childrens book, japanese citizen, japanese american, japanese atrocity, japanese government, japanese interment, japanese miserable, war time, comic strip,",https://www.amazon.com/They-Called-Enemy-George-Takei/dp/1603094504/ref=sr_1_19?qid=1639358384&s=books&sr=1-19,LGBTQ+ Books,"Justin Eisinger, George Takei, ",https://m.media-amazon.com/images/I/714qa+8QTVL._AC_UY218_.jpg
1,asian culture,Caste (Oprah's Book Club): The Origins of Our Discontents,"american racial caste system, american caste system, american caste, caste system analogous, two-layered caste system, caste system, dominant caste, subordinate caste, contemporary american society, white american,",https://www.amazon.com/Caste-Origins-Discontents-Isabel-Wilkerson/dp/0593230256/ref=sr_1_31?qid=1639355805&s=books&sr=1-31,Politics & Social Sciences,"Isabel Wilkerson, ",https://m.media-amazon.com/images/I/81MVfud0o8L._AC_UY218_.jpg
1,asian culture,Caste (Oprah's Book Club): The Origins of Our Discontents,"american racial caste system, american caste system, american caste, caste system analogous, two-layered caste system, caste system, dominant caste, subordinate caste, contemporary american society, white american,",https://www.amazon.com/Caste-Origins-Discontents-Isabel-Wilkerson/dp/0593230256/ref=sr_1_23?qid=1639355705&s=books&sr=1-23,History,"Isabel Wilkerson, ",https://m.media-amazon.com/images/I/81MVfud0o8L._AC_UY218_.jpg
1,asian culture,The Korean Vegan Cookbook: Reflections and Recipes from Omma's Kitchen,"book, enthused vegan cook, chunk missing, uk/ europe, korean supermarket, corner .., bent, spin, recipe, impossible,",https://www.amazon.com/Korean-Vegan-Cookbook-Reflections-Recipes/dp/0593084276/ref=sr_1_8?qid=1636074047&s=books&sr=1-8,"Cookbooks, Food & Wine","Joanne Lee Molinaro, ",https://m.media-amazon.com/images/I/81sphJyaRYL._AC_UY218_.jpg
1,asian culture,The Korean Vegan Cookbook: Reflections and Recipes from Omma's Kitchen,"recipe style, soup recipe, chi recipe, recipe result, authentic recipe, fusion recipe, metric measurement bother, book, metric measurement, complex identity crisis,",https://www.amazon.com/Korean-Vegan-Cookbook-Reflections-Recipes/dp/0593084276/ref=sr_1_20?qid=1639357009&s=books&sr=1-20,"Cookbooks, Food & Wine","Joanne Lee Molinaro, ",https://m.media-amazon.com/images/I/81XEhFQdMVL._AC_UY218_.jpg
1,asian culture,"Amazing Patterns: Adult Coloring Book, Stress Relieving Mandala Style Patterns","coloring book, high quality paper, scratch paper bt, thicker paper, thinner paper, paper creating, pattern, gel ink pen, printing error, design,",https://www.amazon.com/Amazing-Patterns-Coloring-Relieving-Mandala/dp/B08HGTT1D7/ref=sr_1_12?qid=1636073620&s=books&sr=1-12,Travel,"Coloring Book Kim, ",https://m.media-amazon.com/images/I/81oBIyH-kBL._AC_UY218_.jpg
1,asian culture,"Amazing Patterns: Adult Coloring Book, Stress Relieving Mandala Style Patterns","coloring book, high quality paper, scratch paper bt, thicker paper, thinner paper, paper creating, design, gel ink pen, printing error, pattern,",https://www.amazon.com/Amazing-Patterns-Coloring-Relieving-Mandala/dp/B08HGTT1D7/ref=sr_1_22?qid=1639356780&s=books&sr=1-22,Arts & Photography,"Coloring Book Kim, ",https://m.media-amazon.com/images/I/814OX2iTsXL._AC_UY218_.jpg
1,asian culture,"Sapiens: A Graphic History, Volume 2: The Pillars of Civilization (Sapiens: A Graphic History, 2)","original book sapiens, comic book, swift amazon customer feedback, apple io, apple ecosystem, modest picture, fast response, native language, long-term user, mr. harari,",https://www.amazon.com/Sapiens-Graphic-History-Pillars-Civilization/dp/0063212234/ref=sr_1_16?qid=1636073928&s=books&sr=1-16,Comics & Graphic Novels,"Yuval Noah Harari, ",https://m.media-amazon.com/images/I/81wN3RhexHS._AC_UY218_.jpg
